my good clients' writing good reviews…my good clients' writing good reviews have been censored but i noticed the reverse happens to fraudulent reviews where the person did not call me nor use my service.I have reported but i get no notification of the  report but google keeps fraudulent posts of people that don't even talk to me!! i had enough of these skewed reviews. Those are total lies that google keeps to keeps for cliks.Date of experience: May 16  2024,1
I am receiving spam messages from…I am receiving spam messages from Google headquarters in CALIFORNIA IP ADDRESS 74.125.135.27 to another E-MAIL provider. EMAIL SPAMMING from google account.Then Google in California must see to stop the users who spam  and this has happened from their head office in California.Date of experience: May 17  2024,1
 STUCK!!!!Cannot buy anything through my phone! Suspended by Google until I verify!! Sent verification AGES ago!!! These stupid morons haven't got a CLUE!!!!Date of experience: May 15  2024,1
My car broke down on the touring…My car broke down on the touring caravan site I was staying at on our last night of our holiday in Grange over Sands  I called Green Flag and they were brilliant and within 2 hours a mechanic arrived from Furness Cars and Commercials  he diagnosed an electrical problem that needed a garage to repair and arranged for recovery of both car and caravan  we were home by mid afternoon and they even parked my caravan on the driveway  between Greenflag and the brilliant team at  Furness Cars and Commercials we had a stress free return home. Thanks to all. Andrew McAllister Date of experience: May 16  2024,5
Google turn earth into global village Google is a wild range of source of information  knowledge and many other thing. Whatever you want to study or search you can easily find that on Google within couple of minutes. Date of experience: April 16  2024,4
The gutter guysI would like to recommend the gutter guys. Peter & Callum They did an excellent job on replacing my gutters and down pipes. Nothing was too much trouble. They arrived on time  cleaned up and were very pleasant and friendly.Date of experience: May 06  2024,5
Google Drive - BAD DECISIONGoogle Drive - DO NOT TRUST THIS SERVICE.I lost thousands of files due to this service crashing. I then had literally millions of duplicated files appear  all 0 bytes and SIX months down the line I am still getting emails from them saying this is with their 'team' and they will get back to me when an investigation is complete  i'm still waiting.....They have no idea what they are doing or what went wrong. No compensation for lost work  no goodwill  not even a free month of service (not that I would accept it) Now using Dropbox which I cant fault.Date of experience: January 01  2024,1
So me and 4 friends went to Snuffy…So me and 4 friends went to Snuffy Jacks on Fishponds Road tonight for the cocktails night. The cocktail maker Josh Roberts definitely knew what he was doing  never tasted anything like it! Amazingly professional and extremely knowledgeable. The prices were reasonable  and for a small unassuming bar  the atmosphere was fantastic! Would highly recommend making the effort to visit. Date of experience: May 10  2024,5
Ordered at 9 pm by internet and… Ordered at 9 pm by internet and delivered at 11.30 am the next day good service and excellent fencing good company will use again and highly recommend them cheers Date of experience: May 13  2024,5
Extremely unhappy with the level of…Extremely unhappy with the level of service given at Jaguar hardwoods in Coulsdon.None of the staff showed any customer service skills  failed to inform and explain to me how their service works  I wasn't told when the car was ready  picked up the car and it wasn't even cleaned after being worked on and serviced.I honestly belive my car wasn't worked on at all.Terrible service and will not be returning back and will advise anyone else not to use this dealership for anything.I was left waiting around with no explanation on what I was waiting on  wasn't offered no drink or hospitality  once again TERRIBLE CUSTOMER SERVICE  ALL THE STAFF NEED RE-TRAINING HOW TO DEAL WITH ALL TYPES OF CUSTOMERS!!!Date of experience: May 09  2024,1
